team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
AFC Bournemouth,AFC Bournemouth,2017/2018,England,38,19,19,0,11,7,4,11,5,6,16,7,9,1.16,1.37,0.95,12,15,9,12,45,61,-16,106,56,50,26,19,30,31,-4,-12,76,66,90,56,57,55,6,3,3,22,12,10,12,5,7,13,6,7,218,115,103,57,33,24,48,49,47,373,209,164,196,101,95,177,108,69,338,165,173,17,8,9,25,11,14,-8,-3,-5,6,4,2,20,10,10,12,5,7,1.0,1.16,0.84,2.79,2.95,2.63,1.18,1.37,1.0,1.61,1.58,1.63,1.11,1.0,1.21,0.45,0.42,0.47,0.66,0.58,0.74,36,30,25,11,3,1,18,16,13,6,2,1,18,14,12,5,1,0,2,8,13,27,35,37,1,3,6,13,17,18,1,5,7,14,18,19,95,79,66,29,8,3,95,84,68,32,11,5,95,74,63,26,5,0,5,21,34,71,92,97,5,16,32,68,89,95,5,26,37,74,95,100,25,13,3,12,6,1,13,7,2,66,34,8,63,32,5,68,37,11,29,37,21,9,16,16,16,58,63,53,32,26,37,34,32,37,19,11,8,50,58,42,24,12,12,63,63,63,8,3,5,21,16,26,16,21,11,53,53,53,32,26,37,5.74,6.05,5.42,1.5,1.74,1.26,95,92,87,66,50,42,37,21,1.45,1.57,1.33,1.61,1.51,1.72,76,2,4,2,5,5,2,7,9,9,6,3,8,4,10,6,8,5,11,29,26,32,42,37,47,13
Manchester United FC,Manchester United,2017/2018,England,38,19,19,0,25,15,10,6,2,4,7,2,5,2.13,2.47,1.79,2,3,3,2,68,28,40,96,47,49,38,30,9,19,29,11,50,45,57,122,191,90,19,12,7,14,6,8,8,2,6,21,13,8,220,117,103,66,29,37,55,56,53,386,205,181,217,111,106,169,94,75,400,204,196,29,17,12,14,5,9,15,12,3,16,10,6,17,8,9,5,1,4,1.71,2.0,1.42,2.53,2.47,2.58,1.79,2.0,1.58,0.74,0.47,1.0,1.13,1.16,1.11,0.76,0.89,0.63,0.37,0.26,0.47,35,25,19,12,4,1,18,13,10,5,1,0,17,12,9,7,3,1,3,13,19,26,34,37,1,6,9,14,18,19,2,7,10,12,16,18,92,66,50,32,11,3,95,68,53,26,5,0,89,63,47,37,16,5,8,34,50,68,89,97,5,32,47,74,95,100,11,37,53,63,84,95,25,16,2,13,8,1,12,8,1,66,42,5,68,42,5,63,42,5,66,79,53,24,50,63,37,37,32,42,21,11,32,55,68,42,28,15,13,74,79,68,18,7,11,47,37,58,5,3,2,13,16,11,42,53,32,45,42,47,13,5,21,5.79,6.16,5.42,1.74,1.53,1.95,92,82,76,63,47,34,21,13,1.56,1.67,1.43,1.31,1.16,1.46,58,5,6,5,9,5,11,7,5,15,2,2,5,3,4,4,3,3,2,16,11,21,18,11,26,8
Liverpool FC,Liverpool,2017/2018,England,38,19,19,0,21,12,9,12,7,5,5,0,5,1.97,2.26,1.68,4,4,5,4,84,38,46,122,55,67,45,39,10,28,35,11,41,38,44,90,170,61,17,12,5,18,7,11,7,3,4,25,14,11,231,135,96,46,18,28,60,62,59,517,278,239,279,154,125,238,124,114,345,166,179,35,16,19,17,3,14,18,13,5,19,10,9,11,8,3,8,1,7,1.79,2.0,1.58,3.21,2.89,3.53,2.21,2.37,2.05,1.0,0.53,1.47,1.37,1.0,1.74,0.92,0.84,1.0,0.45,0.16,0.74,34,31,25,16,11,4,16,15,11,7,4,1,18,16,14,9,7,3,4,7,13,22,27,34,3,4,8,12,15,18,1,3,5,10,12,16,89,82,66,42,29,11,84,79,58,37,21,5,95,84,74,47,37,16,11,18,34,58,71,89,16,21,42,63,79,95,5,16,26,53,63,84,30,17,4,13,6,0,17,11,4,79,45,11,68,32,0,89,58,21,55,63,47,27,45,63,26,47,37,58,18,16,21,66,74,58,26,16,10,68,84,53,14,7,7,37,37,37,6,2,4,16,11,21,50,53,47,29,42,16,21,5,37,6.08,7.11,5.05,1.21,0.95,1.47,68,66,61,57,45,32,16,13,2.07,2.29,1.85,1.02,0.83,1.22,89,7,4,13,5,10,13,11,11,10,3,3,3,5,3,8,1,4,8,32,37,26,13,0,26,5
Chelsea FC,Chelsea,2017/2018,England,38,19,19,0,21,11,10,7,4,3,10,4,6,1.84,1.95,1.74,5,6,4,5,62,38,24,100,46,54,30,32,16,22,14,10,55,57,54,90,107,78,16,10,6,17,7,10,8,4,4,22,12,10,230,148,82,50,26,24,55,56,55,482,279,203,253,147,106,229,132,97,362,183,179,30,15,15,13,6,7,17,9,8,16,8,8,16,10,6,6,1,5,1.68,1.79,1.58,2.63,2.42,2.84,1.63,1.58,1.68,1.0,0.84,1.16,1.13,1.11,1.16,0.79,0.79,0.79,0.34,0.32,0.37,35,26,21,12,5,1,17,12,8,5,3,1,18,14,13,7,2,0,3,12,17,26,33,37,2,7,11,14,16,18,1,5,6,12,17,19,92,68,55,32,13,3,89,63,42,26,16,5,95,74,68,37,11,0,8,32,45,68,87,97,11,37,58,74,84,95,5,26,32,63,89,100,25,13,5,11,7,3,14,6,2,66,34,13,58,37,16,74,32,11,55,58,53,7,42,53,32,45,37,53,21,21,21,58,63,53,28,15,13,74,79,68,18,9,9,47,47,47,5,3,2,13,16,11,42,42,42,42,53,32,16,5,26,6.05,7.79,4.32,1.32,1.37,1.26,82,68,63,53,47,39,32,24,1.8,2.11,1.5,1.17,1.05,1.3,68,6,4,10,7,6,4,7,8,10,1,2,3,2,8,3,10,2,7,18,21,16,26,21,32,21
West Ham United FC,West Ham United,2017/2018,England,38,19,19,0,10,7,3,12,6,6,16,6,10,1.11,1.42,0.79,13,11,13,13,48,68,-20,116,50,66,24,24,26,42,-2,-18,71,71,71,50,66,41,10,7,3,22,10,12,9,4,5,15,7,8,161,93,68,77,35,42,45,46,43,321,173,148,170,82,88,151,91,60,376,190,186,20,10,10,26,12,14,-6,-2,-4,9,4,5,16,10,6,13,5,8,1.13,1.16,1.11,3.05,2.63,3.47,1.26,1.26,1.26,1.79,1.37,2.21,1.21,1.16,1.26,0.53,0.53,0.53,0.68,0.63,0.74,35,33,22,15,10,1,17,15,9,5,4,0,18,18,13,10,6,1,3,5,16,23,28,37,2,4,10,14,15,19,1,1,6,9,13,18,92,87,58,39,26,3,89,79,47,26,21,0,95,95,68,53,32,5,8,13,42,61,74,97,11,21,53,74,79,100,5,5,32,47,68,95,28,15,3,12,8,2,16,7,1,74,39,8,63,42,11,84,37,5,26,37,16,12,26,37,16,58,53,63,24,21,26,39,37,42,19,11,8,50,58,42,21,11,10,55,58,53,8,4,4,21,21,21,24,21,26,42,53,32,34,26,42,4.24,4.89,3.58,2.03,1.84,2.21,84,71,61,50,42,32,24,16,1.13,1.21,1.05,1.64,1.39,1.89,79,3,4,2,4,8,4,7,8,8,5,4,8,8,3,11,7,9,13,32,32,32,42,32,53,8
Swansea City AFC,Swansea City,2017/2018,Wales,38,19,19,0,8,6,2,9,3,6,21,10,11,0.87,1.11,0.63,18,17,19,18,28,56,-28,84,41,43,17,11,24,32,-7,-21,122,101,155,61,71,54,9,5,4,15,7,8,18,8,10,11,6,5,150,95,55,53,24,29,45,47,43,284,174,110,135,85,50,149,89,60,376,195,181,10,6,4,26,12,14,-16,-6,-10,5,3,2,15,7,8,18,9,9,0.79,0.84,0.74,2.21,2.16,2.26,0.74,0.89,0.58,1.47,1.26,1.68,0.95,0.95,0.95,0.26,0.32,0.21,0.68,0.63,0.74,34,24,14,8,4,0,18,11,7,4,1,0,16,13,7,4,3,0,4,14,24,30,34,38,1,8,12,15,18,19,3,6,12,15,16,19,89,63,37,21,11,0,95,58,37,21,5,0,84,68,37,21,16,0,11,37,63,79,89,100,5,42,63,79,95,100,16,32,63,79,84,100,25,9,2,13,4,1,12,5,1,66,24,5,68,21,5,63,26,5,21,32,11,17,24,26,21,39,37,42,47,42,53,29,32,26,18,9,9,47,47,47,29,14,15,76,74,79,4,2,2,11,11,11,13,16,11,39,37,42,47,47,47,3.95,5.0,2.89,1.39,1.26,1.53,76,66,55,32,32,28,18,11,0.9,1.1,0.7,1.67,1.43,1.9,63,2,1,1,4,5,4,2,3,6,3,8,4,7,5,8,6,6,9,24,16,32,55,53,58,8
Watford FC,Watford,2017/2018,England,38,19,19,0,11,7,4,8,6,2,19,6,13,1.08,1.42,0.74,14,12,15,14,44,64,-20,108,58,50,27,17,31,33,-4,-16,78,63,101,54,55,52,9,5,4,18,12,6,14,4,10,16,10,6,183,96,87,71,45,26,50,51,49,361,197,164,167,87,80,194,110,84,439,224,215,17,10,7,29,16,13,-12,-6,-6,9,5,4,14,8,6,15,6,9,1.08,1.21,0.95,2.84,3.05,2.63,1.16,1.42,0.89,1.68,1.63,1.74,1.21,1.37,1.05,0.45,0.53,0.37,0.76,0.84,0.68,35,28,21,12,8,4,17,14,12,7,5,3,18,14,9,5,3,1,3,10,17,26,30,34,2,5,7,12,14,16,1,5,10,14,16,18,92,74,55,32,21,11,89,74,63,37,26,16,95,74,47,26,16,5,8,26,45,68,79,89,11,26,37,63,74,84,5,26,53,74,84,95,28,14,4,14,9,3,14,5,1,74,37,11,74,47,16,74,26,5,29,37,21,13,24,26,21,47,63,32,37,21,53,42,53,32,18,9,9,47,47,47,24,11,13,63,58,68,6,4,2,16,21,11,24,26,21,37,42,32,39,32,47,4.82,5.05,4.58,1.87,2.37,1.37,89,79,71,53,39,28,24,16,1.38,1.46,1.31,1.42,1.42,1.43,63,3,6,1,3,7,1,7,5,11,4,7,6,8,7,5,5,6,16,21,32,11,50,32,68,11
Newcastle United FC,Newcastle United,2017/2018,England,38,19,19,0,12,8,4,8,4,4,18,7,11,1.16,1.47,0.84,10,9,12,10,39,47,-8,86,38,48,21,18,17,30,4,-12,87,81,95,73,101,57,9,7,2,16,6,10,14,7,7,17,9,8,167,83,84,56,27,29,42,43,41,369,185,184,189,89,100,180,96,84,406,207,199,16,8,8,19,8,11,-3,0,-3,8,4,4,19,11,8,11,4,7,1.13,1.21,1.05,2.26,2.0,2.53,1.03,1.11,0.95,1.24,0.89,1.58,0.92,0.84,1.0,0.42,0.42,0.42,0.5,0.42,0.58,37,22,16,8,3,0,18,11,7,1,1,0,19,11,9,7,2,0,1,16,22,30,35,38,1,8,12,18,18,19,0,8,10,12,17,19,97,58,42,21,8,0,95,58,37,5,5,0,100,58,47,37,11,0,3,42,58,79,92,100,5,42,63,95,95,100,0,42,53,63,89,100,23,10,2,11,5,0,12,5,2,61,26,5,58,26,0,63,26,11,32,42,21,18,24,37,11,42,32,53,37,37,37,45,47,42,23,12,11,61,63,58,24,12,12,63,63,63,6,3,3,16,16,16,21,21,21,50,58,42,29,21,37,4.39,4.37,4.42,1.47,1.42,1.53,87,79,71,57,45,28,13,13,1.4,1.41,1.39,1.55,1.42,1.68,50,3,6,4,2,1,6,8,6,3,2,3,6,5,6,9,6,4,6,21,21,21,47,37,58,13
Brighton & Hove Albion FC,Brighton & Hove Albion,2017/2018,England,38,19,19,0,9,7,2,13,8,5,16,4,12,1.05,1.53,0.58,15,8,20,15,34,54,-20,88,49,39,24,10,25,29,-1,-19,101,71,170,63,68,59,10,5,5,16,11,5,17,5,12,15,10,5,163,90,73,58,39,19,43,44,42,325,186,139,156,90,66,169,96,73,412,198,214,16,8,8,24,11,13,-8,-3,-5,7,3,4,19,12,7,12,4,8,1.05,1.11,1.0,2.32,2.58,2.05,0.89,1.26,0.53,1.42,1.32,1.53,1.05,1.0,1.11,0.42,0.42,0.42,0.63,0.58,0.68,33,28,13,10,3,1,17,14,8,7,2,1,16,14,5,3,1,0,5,10,25,28,35,37,2,5,11,12,17,18,3,5,14,16,18,19,87,74,34,26,8,3,89,74,42,37,11,5,84,74,26,16,5,0,13,26,66,74,92,97,11,26,58,63,89,95,16,26,74,84,95,100,22,12,4,10,7,2,12,5,2,58,32,11,53,37,11,63,26,11,24,37,11,25,26,26,26,42,58,26,45,26,63,39,53,26,22,11,11,58,58,58,25,12,13,66,63,68,7,5,2,18,26,11,18,16,21,50,63,37,32,21,42,4.29,4.74,3.84,1.53,2.05,1.0,92,82,66,55,42,32,28,18,1.08,1.22,0.95,1.64,1.47,1.8,63,4,4,3,2,6,7,3,3,2,6,4,5,6,6,6,5,7,9,34,42,26,42,21,63,13
Huddersfield Town FC,Huddersfield Town,2017/2018,England,38,19,19,0,9,6,3,10,5,5,19,8,11,0.97,1.21,0.74,16,16,16,16,28,58,-30,86,41,45,16,12,25,33,-9,-21,122,107,143,59,68,52,10,7,3,12,7,5,21,8,13,13,9,4,165,102,63,68,30,38,46,49,43,293,165,128,143,73,70,150,92,58,396,179,217,15,10,5,19,12,7,-4,-2,-2,8,6,2,19,7,12,11,6,5,1.13,1.32,0.95,2.26,2.16,2.37,0.74,0.84,0.63,1.53,1.32,1.74,0.89,1.16,0.63,0.39,0.53,0.26,0.5,0.63,0.37,33,28,14,7,4,0,16,12,7,4,2,0,17,16,7,3,2,0,5,10,24,31,34,38,3,7,12,15,17,19,2,3,12,16,17,19,87,74,37,18,11,0,84,63,37,21,11,0,89,84,37,16,11,0,13,26,63,82,89,100,16,37,63,79,89,100,11,16,63,84,89,100,21,11,2,13,7,2,8,4,0,55,29,5,68,37,11,42,21,0,24,32,16,14,26,37,16,32,37,26,55,42,68,34,47,21,24,11,13,63,58,68,28,12,16,74,63,84,3,2,1,8,11,5,21,32,11,50,37,63,29,32,26,4.34,5.37,3.32,1.79,1.58,2.0,87,76,66,47,37,21,16,11,0.95,1.03,0.87,1.48,1.28,1.69,55,3,1,5,3,8,1,2,1,4,2,2,9,3,10,8,10,9,5,26,26,26,50,42,58,11
Arsenal FC,Arsenal,2018/2019,England,38,19,19,0,21,14,7,7,3,4,10,2,8,1.84,2.37,1.32,5,3,8,5,73,51,22,124,58,66,42,31,16,35,26,-4,47,41,55,67,107,49,8,7,1,26,11,15,4,1,3,24,13,11,209,125,84,76,40,36,58,61,56,377,210,167,208,116,92,169,94,75,412,218,194,28,14,14,28,8,20,0,6,-6,11,8,3,17,7,10,10,4,6,1.32,1.63,1.0,3.26,3.05,3.47,1.92,2.21,1.63,1.34,0.84,1.84,1.47,1.16,1.79,0.74,0.74,0.74,0.74,0.42,1.05,38,34,22,17,9,4,19,18,8,7,4,2,19,16,14,10,5,2,0,4,16,21,29,34,0,1,11,12,15,17,0,3,5,9,14,17,100,89,58,45,24,11,100,95,42,37,21,11,100,84,74,53,26,11,0,11,42,55,76,89,0,5,58,63,79,89,0,16,26,47,74,89,29,17,7,14,6,2,15,11,5,76,45,18,74,32,11,79,58,26,55,74,37,26,21,37,5,68,58,79,11,5,16,63,68,58,19,12,7,50,63,37,15,8,7,39,42,37,13,4,9,34,21,47,29,42,16,45,37,53,26,21,32,5.5,6.58,4.42,2.0,2.11,1.89,87,82,71,63,47,34,28,13,1.43,1.6,1.25,1.44,1.29,1.6,87,6,9,8,2,8,10,10,7,13,3,7,5,5,9,1,12,1,8,18,16,21,26,11,42,5
Tottenham Hotspur FC,Tottenham Hotspur,2018/2019,England,38,19,19,0,23,12,11,2,2,0,13,5,8,1.87,2.0,1.74,4,5,3,4,67,39,28,106,50,56,34,33,16,23,18,10,51,50,52,87,107,74,13,7,6,19,9,10,6,3,3,24,13,11,194,102,92,62,21,41,59,61,58,433,236,197,226,124,102,207,112,95,376,175,201,31,13,18,11,5,6,20,8,12,19,9,10,11,5,6,8,5,3,1.79,1.68,1.89,2.79,2.63,2.95,1.76,1.79,1.74,1.03,0.84,1.21,1.11,0.95,1.26,0.82,0.68,0.95,0.29,0.26,0.32,38,27,22,11,4,2,19,12,10,8,1,0,19,15,12,3,3,2,0,11,16,27,34,36,0,7,9,11,18,19,0,4,7,16,16,17,100,71,58,29,11,5,100,63,53,42,5,0,100,79,63,16,16,11,0,29,42,71,89,95,0,37,47,58,95,100,0,21,37,84,84,89,27,9,5,14,3,1,13,6,4,71,24,13,74,16,5,68,32,21,61,63,58,10,34,37,32,50,47,53,16,16,16,63,68,58,27,14,13,71,74,68,19,10,9,50,53,47,3,0,3,8,0,16,50,47,53,29,26,32,21,26,16,5.11,5.37,4.84,1.63,1.11,2.16,87,76,63,50,47,32,28,16,1.58,1.74,1.42,1.35,1.28,1.42,89,6,4,11,5,7,8,8,8,10,3,4,1,2,1,6,4,8,10,5,11,0,34,26,42,11
Manchester City FC,Manchester City,2018/2019,England,38,19,19,0,32,18,14,2,0,2,4,1,3,2.58,2.84,2.32,1,1,1,1,95,23,72,118,69,49,57,38,12,11,45,27,36,30,45,148,143,155,20,9,11,17,10,7,2,0,2,34,19,15,298,154,144,46,17,29,68,68,68,527,307,220,298,167,131,229,140,89,328,162,166,49,28,21,11,7,4,38,21,17,25,13,12,11,5,6,2,1,1,2.26,2.32,2.21,3.11,3.63,2.58,2.5,3.0,2.0,0.61,0.63,0.58,1.58,1.84,1.32,1.29,1.47,1.11,0.29,0.37,0.21,37,31,23,15,7,3,19,16,14,10,5,3,18,15,9,5,2,0,1,7,15,23,31,35,0,3,5,9,14,16,1,4,10,14,17,19,97,82,61,39,18,8,100,84,74,53,26,16,95,79,47,26,11,0,3,18,39,61,82,92,0,16,26,47,74,84,5,21,53,74,89,100,30,16,9,16,10,5,14,6,4,79,42,24,84,53,26,74,32,21,84,95,74,9,53,47,58,45,53,37,5,0,11,89,100,79,28,13,15,74,68,79,9,3,6,24,16,32,9,6,3,24,32,16,66,68,63,29,26,32,5,5,5,7.84,8.11,7.58,1.21,0.89,1.53,79,79,66,57,50,32,28,18,2.18,2.45,1.9,0.79,0.75,0.83,92,12,13,8,9,13,12,12,6,10,0,2,3,3,3,3,4,2,3,5,0,11,11,5,16,5
Leicester City FC,Leicester City,2018/2019,England,38,19,19,0,15,8,7,7,3,4,16,8,8,1.37,1.42,1.32,9,11,7,9,51,48,3,99,44,55,24,27,20,28,4,-1,67,71,63,71,86,61,10,6,4,22,9,13,8,6,2,13,6,7,210,108,102,67,37,30,51,54,48,420,238,182,222,118,104,198,120,78,351,184,167,15,10,5,27,12,15,-12,-2,-10,7,5,2,15,7,8,16,7,9,0.95,1.16,0.74,2.61,2.32,2.89,1.34,1.26,1.42,1.26,1.05,1.47,1.11,1.16,1.05,0.39,0.53,0.26,0.71,0.63,0.79,36,28,19,9,4,2,17,14,9,3,1,0,19,14,10,6,3,2,2,10,19,29,34,36,2,5,10,16,18,19,0,5,9,13,16,17,95,74,50,24,11,5,89,74,47,16,5,0,100,74,53,32,16,11,5,26,50,76,89,95,11,26,53,84,95,100,0,26,47,68,84,89,29,12,1,15,7,0,14,5,1,76,32,3,79,37,0,74,26,5,39,42,37,6,26,32,21,58,47,68,21,32,11,34,32,37,16,9,7,42,47,37,25,11,14,66,58,74,6,3,3,16,16,16,18,26,11,39,37,42,42,37,47,5.53,5.68,5.37,1.76,1.95,1.58,92,84,74,68,57,42,32,21,1.56,1.7,1.4,1.32,1.19,1.45,68,1,4,5,3,4,7,5,8,14,8,5,1,7,6,4,7,1,9,18,16,21,42,42,42,5
Crystal Palace FC,Crystal Palace,2018/2019,England,38,19,19,0,14,5,9,7,5,2,17,9,8,1.29,1.05,1.53,12,18,6,12,51,53,-2,104,42,62,19,32,23,30,-4,2,67,90,54,65,74,57,12,7,5,19,7,12,11,8,3,18,7,11,205,130,75,62,27,35,45,47,43,392,222,170,184,94,90,208,128,80,386,180,206,20,8,12,13,6,7,7,2,5,16,6,10,14,8,6,8,5,3,1.63,1.37,1.89,2.74,2.21,3.26,1.34,1.0,1.68,1.39,1.21,1.58,0.87,0.74,1.0,0.53,0.42,0.63,0.34,0.32,0.37,34,28,17,13,7,2,16,12,6,4,1,1,18,16,11,9,6,1,4,10,21,25,31,36,3,7,13,15,18,18,1,3,8,10,13,18,89,74,45,34,18,5,84,63,32,21,5,5,95,84,58,47,32,5,11,26,55,66,82,95,16,37,68,79,95,95,5,16,42,53,68,95,24,4,4,11,1,1,13,3,3,63,11,11,58,5,5,68,16,16,37,26,47,-6,32,37,26,50,37,63,29,42,16,47,37,58,27,13,14,71,68,74,22,13,9,58,68,47,3,1,2,8,5,11,42,32,53,37,42,32,21,26,16,5.39,6.84,3.95,1.63,1.42,1.84,95,92,79,71,61,42,37,18,1.36,1.51,1.2,1.53,1.31,1.75,76,1,3,3,10,5,3,7,8,11,1,2,3,4,7,9,8,8,11,18,26,11,45,47,42,11
Everton FC,Everton,2018/2019,England,38,19,19,0,15,10,5,9,4,5,14,5,9,1.42,1.79,1.05,8,7,12,8,54,46,8,100,51,49,30,24,21,25,9,-1,63,57,71,74,81,68,14,9,5,17,8,9,10,3,7,20,12,8,215,119,96,63,24,39,52,54,50,396,213,183,207,104,103,189,109,80,432,218,214,25,14,11,17,11,6,8,3,5,10,5,5,21,10,11,7,4,3,1.34,1.32,1.37,2.63,2.68,2.58,1.42,1.58,1.26,1.21,1.11,1.32,1.11,1.32,0.89,0.66,0.74,0.58,0.45,0.58,0.32,35,28,18,12,3,2,18,15,8,6,1,1,17,13,10,6,2,1,3,10,20,26,35,36,1,4,11,13,18,18,2,6,9,13,17,18,92,74,47,32,8,5,95,79,42,32,5,5,89,68,53,32,11,5,8,26,53,68,92,95,5,21,58,68,95,95,11,32,47,68,89,95,22,14,4,12,9,3,10,5,1,58,37,11,63,47,16,53,26,5,39,53,26,10,37,47,26,45,42,47,26,16,37,53,63,42,25,12,13,66,63,68,20,8,12,53,42,63,9,6,3,24,32,16,26,26,26,55,53,58,18,21,16,5.66,6.26,5.05,1.66,1.26,2.05,92,79,74,66,47,39,24,16,1.45,1.55,1.35,1.25,1.19,1.31,68,5,8,5,5,4,5,8,6,8,2,2,3,6,9,5,10,5,4,24,21,26,37,26,47,11
